YrFireName,Fire,Dataset,N,yr_fire,Latitude,Longitude,Elevation,month_fire,day_fire,Fire_type,State,Sample_design,Plot_size_ha,Threshold_diameter_cm,Study_purpose,,,,
1988 - Earlybird,Earlybird,Hood,615,1988,45.665263,-106.513703,1319,6,4,Wild,Montana,not available,not available,not available,Tree Mortality,,,,
1988 - Greater Yellowstone Ecosystem,Greater Yellowstone Ecosystem,Hood,310,1988,44.193531,-110.55852,2391,8,20,Wild,Wyoming,Variable radius plot,2.296,not available,Fire-insect Interactions; Tree Mortality,,,,
1989 - SEKI Crystal,SEKI Crystal,NPS,51,1989,36.600681,-118.810218,1922,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1989 - SEKI Huckleberry,SEKI Huckleberry,NPS,75,1989,36.554259,-118.757091,2061,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1990 - LAVO Butte Lake,LAVO Butte Lake,NPS,23,1990,40.581287,-121.29656,1794,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1990 - SEKI Grant West I,SEKI Grant West I,NPS,30,1990,36.745819,-118.977166,1898,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1990 - SEKI Highway 2,SEKI Highway 2,NPS,34,1990,36.573364,-118.760402,2081,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1990 - SEKI Tharps,SEKI Tharps,NPS,21,1990,36.57375,-118.747969,2197,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1990 - SEKI Tharps,SEKI Tharps,USGS_Demog,837,1990,36.56328,-118.74282,2185,10,23,RX,California,Fixed-area plot,1 and 1.125,0.1,Forest Dynamics; Fuel Treatment Effects,,,,
1991 - SEKI Deer Creek PNF,SEKI Deer Creek PNF,NPS,31,1991,36.448493,-118.658518,2104,NA,NA,PNF,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1991 - SEKI Presidents SMA,SEKI Presidents SMA,NPS,8,1991,36.575029,-118.748578,2175,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1991 - SEKI Tharps IV,SEKI Tharps IV,NPS,24,1991,36.571468,-118.74723,2198,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1992 - BAND 48,BAND 48,NPS,8,1992,35.76835892,-106.2984423,1965,NA,NA,RX,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1992 - GRCA Entrance,GRCA Entrance,NPS,33,1992,36.029282,-112.12914,2086,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1992 - GRCA Northwest1,GRCA Northwest1,NPS,94,1992,36.350294,-112.270197,2437,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1992 - GRCA Topeka - Atchison 2,GRCA Topeka - Atchison 2,NPS,23,1992,36.028971,-112.143401,2062,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1992 - SEKI Grant West,SEKI Grant West,NPS,114,1992,36.745819,-118.977166,1898,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1992 - SEKI Suwanee,SEKI Suwanee,NPS,65,1992,36.59278,-118.793682,1939,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1992 - Slowey,Slowey,Hood,245,1992,47.250501,-115.012881,1098,3,1,RX,Montana,not available,not available,not available,Tree Mortality,,,,
1993 - BAND 48,BAND 48,NPS,63,1993,35.768359,-106.298442,1965,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - BAND 49,BAND 49,NPS,88,1993,35.773726,-106.30572,2027,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - BAND 55,BAND 55,NPS,15,1993,35.778849,-106.306335,2040,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - GRCA Northwest 3,GRCA Northwest 3,NPS,72,1993,36.343425,-112.252622,2507,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - GRCA Quarry 2,GRCA Quarry 2,NPS,191,1993,36.013111,-112.133297,2061,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - GRCA Topeka - Atchison 2,GRCA Topeka - Atchison 2,NPS,41,1993,36.027073,-112.165882,2051,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - LABE Eagles Nest,LABE Eagles Nest,NPS,38,1993,41.698427,-121.566144,1571,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - LAVO Knob/ Lost Creek,LAVO Knob/ Lost Creek,NPS,157,1993,40.56738,-121.525183,1744,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - SEKI Hole-inthe-Wall,SEKI Hole-inthe-Wall,NPS,94,1993,36.786948,-118.6302,1503,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1993 - SEKI Picnic Estates,SEKI Picnic Estates,NPS,18,1993,36.791976,-118.666923,1431,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1994 - BAND 14,BAND 14,NPS,126,1994,35.823162,-106.388158,2483,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1994 - BAND 27,BAND 27,NPS,94,1994,35.829153,-106.361715,2331,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1994 - Barkley,Barkley,Hood,75,1994,40.119598,-121.755628,799,9,NA,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
1994 - Cabezon,Cabezon,Stuever,93,1994,35.206448,-106.635532,1524,3,23,Wild,New Mexico,Individual tree,NA,NA,Tree Mortality,,,,
1994 - Crystal,Crystal,Hood,114,1994,39.517243,-120.037219,1875,NA,NA,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
1994 - GRCA Picnic,GRCA Picnic,NPS,63,1994,36.028902,-112.120139,2108,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1994 - LAVO WV Hot,LAVO WV Hot,NPS,117,1994,40.445822,-121.426425,1917,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1994 - Tingley,Tingley,Stuever,92,1994,35.077731,-106.668296,1508,4,22,Wild,New Mexico,Individual tree,NA,NA,Tree Mortality,,,,
1995 - BAND 08,BAND 08,NPS,82,1995,35.835831,-106.401199,2781,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - BRCA County Line,BRCA County Line,NPS,50,1995,37.53688,-112.254561,2704,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - BRCA Puma,BRCA Puma,NPS,329,1995,37.519645,-112.270528,2631,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - Dauber,Dauber,McHugh,222,1995,35.283618,-111.858252,2255,9,9,RX,Arizona,Fixed-area plot,0.04,7.4,Fire-insect Interactions; Tree Mortality,,,,
1995 - GRCA Hance,GRCA Hance,NPS,58,1995,35.971826,-111.998093,2249,NA,NA,RX,Arizona,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - LAVO Butte Lake,LAVO Butte Lake,NPS,396,1995,40.581287,-121.29656,1794,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - SEKI Mineral King,SEKI Mineral King,NPS,130,1995,36.466001,-118.693443,2308,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - SEKI Swale,SEKI Swale,NPS,46,1995,36.740503,-118.977523,1882,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - WHIS Brandy Creek,WHIS Brandy Creek,NPS,251,1995,40.618783,-122.573928,388,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - WHIS Monarch II,WHIS Monarch II,NPS,25,1995,40.594133,-122.568625,736,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - WHIS Monarch Mountain,WHIS Monarch Mountain,NPS,40,1995,40.593387,-122.569043,751,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1995 - ZION East Mesa,ZION East Mesa,NPS,60,1995,37.291228,-112.90781,1999,NA,NA,RX,Utah,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1996 - Bridger Knoll,Bridger Knoll,McHugh,833,1996,36.535546,-112.417723,2113,6,20,Wild,Arizona,Fixed-area plot,"0.08, 0.04",22.9,Fire-insect Interactions; Tree Mortality,,,,
1996 - LABE Hidden Valley,LABE Hidden Valley,NPS,65,1996,41.691698,-121.53892,1583,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1996 - SEKI Crescent,SEKI Crescent,NPS,29,1996,36.55554499,-118.7488585,2047,9,26,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1996 - Side,Side,McHugh,312,1996,35.247117,-111.572602,2162,5,4,Wild,Arizona,Individual tree,NA,10.2,Fire-insect Interactions; Tree Mortality,,,,
1996 - WHIS Monarch Mountain II,WHIS Monarch Mountain II,NPS,43,1996,40.593387,-122.569043,751,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1996 - WHIS Shasta Divide,WHIS Shasta Divide,NPS,111,1996,40.579159,-122.524696,341,NA,NA,RX,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1997 - BAND 48,BAND 48,NPS,55,1997,35.768359,-106.298442,1965,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1997 - BAND 49,BAND 49,NPS,81,1997,35.773726,-106.30572,2027,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1997 - BAND 55,BAND 55,NPS,14,1997,35.778849,-106.306335,2040,NA,NA,NA,New Mexico,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
